"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Diario"
"Unknown error","Error desconocido"
"Failure history lifetime","Failure history lifetime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"History cleanup every","Limpiar historial cada"
"Monthly","Mensual"
"Missed if not run within","Missed if not run within"
"No callbacks found","No callbacks found"
"Schedule ahead for","Schedule ahead for"
"Weekly","Semanal"
"Success history lifetime","Success history lifetime"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Unable to save Cron expression"
