"Action","Acción"
"Add Sitemap","Agregar Mapa del sitio"
"Yearly","Anual"
"CMS Pages Options","CMS Pages Options"
"Daily","Diario"
"Edit Sitemap","Editar Mapa del sitio"
"This sitemap no longer exists","El Mapa del sitio ya no existe"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Frequency","Frecuencia"
"Generate","Generar"
"Generation Settings","Generation Settings"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap Section"
"Enabled","Habilitado"
"Hourly","Hourly"
"ID","ID"
"Last Time Generated","Last Time Generated"
"Link for Google","Link for Google"
"Sitemap","Mapa del sitio"
"Monthly","Mensual"
"Filename","Nombre de archivo"
"New Sitemap","Nuevo Mapa del sitio"
"Never","Nunca"
"Categories Options","Opciones de las Categorías"
"Path","Path"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Prioridad"
"Priority must be between 0 and 1","Priority must be between 0 and 1"
"Products Options","Products Options"
"Weekly","Semanal"
"Always","Siempre"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Sitemap generate Warnings"
"Sitemap was successfully deleted","Sitemap was successfully deleted"
"Sitemap was successfully saved","Sitemap was successfully saved"
"Start Time","Start Time"
"Store View","Store View"
"Unable to find a sitemap to delete","Unable to find a sitemap to delete"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
